Which comic characters are painted by Bill Finger?	SELECT DISTINCT ?uri WHERE {?uri dbo:creator dbr:Bill_Finger  . ?uri rdf:type dbo:ComicsCharacter}
Joe Hahn is the member of what band?	SELECT DISTINCT ?uri WHERE {?uri dbp:currentMembers dbr:Joe_Hahn  . ?uri rdf:type dbo:Band}

Name the television show whose distributor is Comedy central and  the character voice is given by Isaac hayes ?	SELECT DISTINCT ?uri WHERE {?uri dbp:distributor dbr:Comedy_Central . ?uri dbp:voices dbr:Isaac_Hayes  . ?uri rdf:type dbo:TelevisionShow}

Raymond Johansen is the mayor of what city?	SELECT DISTINCT ?uri WHERE {?uri dbo:leaderName dbr:Raymond_Johansen  . }

What is the nation of the speedway league where Ikaros Smederna played?	SELECT DISTINCT ?uri WHERE { dbr:Ikaros_Smederna dbo:league ?x . ?x dbo:country ?uri  . ?x rdf:type dbo:SpeedwayLeague}

What are the kind of games one can play on windows?	SELECT DISTINCT ?uri WHERE { ?x dbo:computingPlatform dbr:Microsoft_Windows . ?x dbo:genre ?uri  . ?x rdf:type dbo:VideoGame}

Count the number of sports played by schools which play hockey ?	 SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:sport dbr:Hockey . ?x dbo:sport ?uri }

Who holds stock in the railway lines ending in Washington DC?	SELECT DISTINCT ?uri WHERE { ?x dbo:routeEnd dbr:Union_Station_(Washington_D.C.) . ?x dbp:owner ?uri  . ?x rdf:type dbo:RailwayLine}

Where is Temenos Group founded ?	 SELECT DISTINCT ?uri WHERE { dbr:Temenos_Group dbp:foundation ?uri }

What was the language of the single which came before To Know Him Is to Love Him?	SELECT DISTINCT ?uri WHERE { dbr:To_Know_Him_Is_to_Love_Him dbo:previousWork ?x . ?x dbp:language ?uri  . }

Where was the narrator of Spain on the Road Again born?	SELECT DISTINCT ?uri WHERE { dbr:Spain..._on_the_Road_Again dbo:narrator ?x . ?x dbp:birthPlace ?uri  . }

What is the common school of Chris Marve and Neria Douglass?	 SELECT DISTINCT ?uri WHERE { dbr:Chris_Marve dbo:school ?uri. dbr:Neria_Douglass dbo:almaMater ?uri}

In which areas are the radio stations of Monticello Maine available too?	SELECT DISTINCT ?uri WHERE { ?x dbp:city dbr:Monticello_Maine . ?x dbp:area ?uri  . ?x rdf:type dbo:RadioStation}

What relegious affiliation of Josiah Idowu-Fearon was canonized by john of Damasucs ?	 SELECT DISTINCT ?uri WHERE { dbr:John_of_Damascus dbo:canonizedBy ?uri. dbr:Josiah_Idowu-Fearon dbo:religion ?uri}

Name the TV show whose composer is Judy Hart Angelo and company as Paramount Television ?	SELECT DISTINCT ?uri WHERE {?uri dbo:composer dbr:Judy_Hart_Angelo . ?uri dbp:company dbr:Paramount_Television  . ?uri rdf:type dbo:TelevisionShow}

Rivers from which countries flow into the Caspian?	SELECT DISTINCT ?uri WHERE { ?x dbo:riverMouth dbr:Caspian_Sea . ?x dbo:sourceCountry ?uri  . ?x rdf:type dbo:River}

Name the military unit whose garrison is Arlington County Virginia and command structure is United States Department of Defense?	SELECT DISTINCT ?uri WHERE {?uri dbo:garrison dbr:Arlington_County_Virginia . ?uri dbo:commandStructure dbr:United_States_Department_of_Defense  . ?uri rdf:type dbo:MilitaryUnit}

Where does the successor of Thongsuk Samdaengpan reside?	SELECT DISTINCT ?uri WHERE { dbr:Thongsuk_Samdaengpan dbp:successor ?x . ?x dbo:location ?uri  . }

what are some devices made by asus?	SELECT DISTINCT ?uri WHERE {?uri dbo:manufacturer dbr:Asus  . ?uri rdf:type dbo:InformationAppliance}

Count the number of people who graduated from universities affiliated with the NCAA.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:athletics dbr:National_Collegiate_Athletic_Association . ?uri dbp:education ?x  . ?uri rdf:type dbo:Person}

Is Queen Latifah associated with Afrika Baby Bam?	ASK WHERE { dbr:Afrika_Baby_Bam dbo:associatedBand dbr:Queen_Latifah }

Count all that was built by a company whose leader is Kazuo Hirai?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:keyPeople dbr:Kazuo_Hirai . ?uri dbo:manufacturer ?x  . }

Name the sports played by PATTS College of Aeronautics?	 SELECT DISTINCT ?uri WHERE { dbr:PATTS_College_of_Aeronautics dbp:athletics ?uri }

Name the tenant of Ever bank field which has also has player named Dan Shamash ?	 SELECT DISTINCT ?uri WHERE { dbr:Dan_Shamash dbo:team ?uri. dbr:EverBank_Field dbo:tenant ?uri}

Which country did the prime minister belong to who was served by Thanong Bidaya ?	SELECT DISTINCT ?uri WHERE { dbr:Thanong_Bidaya dbp:primeminister ?x . ?x dbo:nationality ?uri  . }

What is the largest city in the country where the San Marcos River originates?	SELECT DISTINCT ?uri WHERE { dbr:San_Marcos_River dbo:sourceMountain ?x . ?x dbo:largestCity ?uri  . ?x rdf:type dbo:Country}

Give a list of all the labels that have jazz fusion artists signed up with them?	SELECT DISTINCT ?uri WHERE { ?x dbo:genre dbr:Jazz_fusion . ?x dbo:recordLabel ?uri  . ?x rdf:type dbo:MusicalArtist}

Name the major shrine of Bogumilus?	 SELECT DISTINCT ?uri WHERE { dbr:Bogumilus dbo:majorShrine ?uri }

Name the office holder whose predecessor is  Henry E. Catto Jr. and won Screen Actors Guild Life Achievement Award?	SELECT DISTINCT ?uri WHERE {?uri dbo:predecessor dbr:Henry_E._Catto_Jr. . ?uri dbo:award dbr:Screen_Actors_Guild_Life_Achievement_Award  . ?uri rdf:type dbo:OfficeHolder}

Which holy places did consider Pope Gregory I as a saint?	 SELECT DISTINCT ?uri WHERE { dbr:Pope_Gregory_I dbp:veneratedIn ?uri }

List the religion of people in the Cambodian human rights party?	SELECT DISTINCT ?uri WHERE { ?x dbo:otherParty dbr:Human_Rights_Party_(Cambodia) . ?x dbo:religion ?uri  . ?x rdf:type dbo:Person}

In which teams have league members of the Czech Extraliga played previously?	SELECT DISTINCT ?uri WHERE { ?x dbp:league dbr:Czech_Extraliga . ?x dbo:formerTeam ?uri  . }

Count the wars in which people awarded with the Croix de guerre fought.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:awards dbr:Croix_de_guerre_1939–1945_(France) . ?x dbp:battles ?uri  . ?uri rdf:type dbo:MilitaryConflict}

For which clubs do the players of Azam F.C. play for?	SELECT DISTINCT ?uri WHERE { dbr:Azam_F.C. dbp:name ?x . ?x dbo:team ?uri  . ?x rdf:type dbo:SoccerPlayer}

Which location of  INKAS is also the location of  T.I. Ahmadiyya Senior High School Kumasi ?	 SELECT DISTINCT ?uri WHERE { dbr:INKAS dbp:locations ?uri. dbr:T.I._Ahmadiyya_Senior_High_School_Kumasi dbo:denomination ?uri}

Who are buried in  Rome and Mausoleum of Augustus?	SELECT DISTINCT ?uri WHERE { ?uri dbp:placeOfBurial dbr:Rome . ?uri dbp:placeOfBurial dbr:Mausoleum_of_Augustus . }

How many battles have involved commanders of 1st Free French Division?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:1st_Free_French_Division dbp:notableCommanders ?x . ?x dbp:battles ?uri  . }

Count the number of cities on the Mediterranean Sea?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:Mediterranean_Sea dbp:cities ?uri  . }

Name a  river with source country as Zambia and source location as Ikelenge  District?	SELECT DISTINCT ?uri WHERE {?uri dbo:sourceCountry dbr:Zambia . ?uri dbp:sourceLocation dbr:Ikelenge_District  . ?uri rdf:type dbo:River}

Which researchers received fellowship from Royal Society?	SELECT DISTINCT ?uri WHERE {?uri dbo:award dbr:Royal_Society  . ?uri rdf:type dbo:Scientist}

acer nigrum is used in making what?	 SELECT DISTINCT ?uri WHERE {?uri dbo:ingredient dbr:Acer_nigrum }

what are some famous people out of the Filipinos?	 SELECT DISTINCT ?uri WHERE {?uri dbo:stateOfOrigin dbr:Filipinos }

Who is the office holder with deputies as Neil Brown and Andrew Peacock?	SELECT DISTINCT ?uri WHERE { ?uri dbp:deputy dbr:Neil_Brown_(Australian_politician) . ?uri dbp:deputy dbr:Andrew_Peacock . ?uri rdf:type dbo:OfficeHolder}

Which executive producer of Into the Dalek also produced Wizards vs Aliens ?	 SELECT DISTINCT ?uri WHERE { dbr:Into_the_Dalek dbp:executiveProducer ?uri. dbr:Wizards_vs_Aliens dbo:producer ?uri}

Who appointed the successor of Charles Pinckney ?	SELECT DISTINCT ?uri WHERE { dbr:Charles_Pinckney_(governor) dbo:successor ?x . ?x dbp:appointer ?uri  . }

Where did they debut their careers  those who have played for US men's national soccer team?	SELECT DISTINCT ?uri WHERE { ?x dbp:nationalteam dbr:United_States_men's_national_soccer_team . ?x dbp:debutteam ?uri  . }

To whom was Tessa Dahl born to?	 SELECT DISTINCT ?uri WHERE { dbr:Tessa_Dahl dbo:parent ?uri }

EU Broadcasting Union is the owner of the distributor of what?	SELECT DISTINCT ?uri WHERE { ?x dbp:owner dbr:European_Broadcasting_Union . ?uri dbo:distributor ?x  . }

Was Jack Ryan a nominee of US Senate?	ASK WHERE { dbr:Jack_Ryan_(politician) dbo:nominee dbr:United_States_Senate }

Count the number of religions followed by the alumini of Ananda College.	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:almaMater dbr:Ananda_College . ?x dbo:religion ?uri  . }

Which city located on Mediterranean Sea is also the stadium of Panionios G.S.S. season ?	 SELECT DISTINCT ?uri WHERE { dbr:2014–15_Panionios_G.S.S._season dbp:stadium ?uri. dbr:Mediterranean_Sea dbp:cities ?uri}

What is the river whose source is Cowombat  Flat and has it's mouth located in Murray Mouth?	SELECT DISTINCT ?uri WHERE {?uri dbo:source dbr:Cowombat_Flat . ?uri dbo:riverMouth dbr:Murray_Mouth  . ?uri rdf:type dbo:River}

What is the broadcast area of WBCQ (SW) ?	 SELECT DISTINCT ?uri WHERE { dbr:WBCQ_(SW) dbp:area ?uri }

Who were in the youth clubs that were in season of 2015 Argentine Primera Division?	SELECT DISTINCT ?uri WHERE { ?x dbo:season dbr:2015_Argentine_Primera_División . ?uri dbp:youthclubs ?x  . }

List the cities which share the same water body as that of Florida ?	SELECT DISTINCT ?uri WHERE { ?x dbp:cities dbr:Florida . ?x dbp:cities ?uri  . ?x rdf:type dbo:BodyOfWater}

God Defend New Zealand is the national anthem of which country?	 SELECT DISTINCT ?uri WHERE {?uri dbp:nationalAnthem dbr:God_Defend_New_Zealand }

What is the name of the movie whose director of photography was Jordan Cronenweth and music composer was Vangelis?	SELECT DISTINCT ?uri WHERE {?uri dbp:cinematography dbr:Jordan_Cronenweth . ?uri dbo:musicComposer dbr:Vangelis  . ?uri rdf:type dbo:Film}

From how many coutries do companies come which are headquartered in the Klang Valley?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:headquarters dbr:Klang_Valley . ?x dbp:country ?uri  . ?uri rdf:type dbo:Country}

Who founded the sister stations of Discovery Communications?	SELECT DISTINCT ?uri WHERE { ?x dbp:sisterNames dbr:Discovery_Communications . ?x dbp:founder ?uri  . }

What are the notable works of the person who produced Queer as Folk?	SELECT DISTINCT ?uri WHERE { dbr:Queer_as_Folk_(UK_TV_series) dbo:producer ?x . ?x dbp:notableworks ?uri  . ?x rdf:type dbo:Person}

What are the border of High Desert (Oregon)?	 SELECT DISTINCT ?uri WHERE { dbr:High_Desert_(Oregon) dbo:border ?uri }

What all is owned by a company one of whose division is Paramount Domestic Television?	SELECT DISTINCT ?uri WHERE { ?x dbo:division dbr:Paramount_Domestic_Television . ?uri dbp:company ?x  . }

 Which musical band produced the subsequent work of City of New Orleans ?	SELECT DISTINCT ?uri WHERE { dbr:City_of_New_Orleans_(song) dbo:subsequentWork ?x . ?x dbo:musicalBand ?uri  . }

Which parent organization of Get TV also owns the Galleria ?	 SELECT DISTINCT ?uri WHERE { dbr:GetTV dbo:parentOrganisation ?uri. dbr:The_Galleria dbo:owner ?uri}

Which artist of Madagascar: Operation Penguin is also the writer of He's a Pirate ?	 SELECT DISTINCT ?uri WHERE { dbr:Madagascar:_Operation_Penguin dbp:artist ?uri. dbr:He's_a_Pirate dbp:writer ?uri}

Where did Goran Cengic die?	 SELECT DISTINCT ?uri WHERE { dbr:Goran_Čengić dbp:deathPlace ?uri }

The authors of Zhorstoke nebo was influenced by whom ?	SELECT DISTINCT ?uri WHERE { dbr:Zhorstoke_nebo dbo:author ?x . ?x dbo:influencedBy ?uri  . }

Name the basketball team which is coached by Louis Dunbar and has president as Jeff Munn ?	SELECT DISTINCT ?uri WHERE {?uri dbp:coach dbr:Louis_Dunbar . ?uri dbp:president dbr:Jeff_Munn  . ?uri rdf:type dbo:BasketballTeam}

Who all have rented the stadium whose architect is Populous?	SELECT DISTINCT ?uri WHERE { ?x dbp:architect dbr:Populous_(company) . ?x dbo:tenant ?uri  . ?x rdf:type dbo:Stadium}

Which body governs over the place made by the chumash people?	SELECT DISTINCT ?uri WHERE { ?x dbp:architect dbr:Chumash_people . ?x dbo:governingBody ?uri  . ?x rdf:type dbo:Place}

Which hometown of pavel Moroz is also the palace of birthplace of Helena of Moscow ?	 SELECT DISTINCT ?uri WHERE { dbr:Pavel_Moroz dbp:hometown ?uri. dbr:Helena_of_Moscow dbo:birthPlace ?uri}

Which TV show developed by J. Michael Stracznski has artist as Christopher Franke ?	SELECT DISTINCT ?uri WHERE {?uri dbp:artist dbr:Christopher_Franke . ?uri dbo:developer dbr:J._Michael_Straczynski  . ?uri rdf:type dbo:TelevisionShow}

Name the largest city in the county where there is a Cy-Fair High School.	SELECT DISTINCT ?uri WHERE { dbr:Cy-Fair_High_School dbo:county ?x . ?x dbo:largestCity ?uri  . }

What are the academic interests of the past members of Senser?	SELECT DISTINCT ?uri WHERE { dbr:Senser dbp:pastMembers ?x . ?x dbp:mainInterests ?uri  . }

Name the common associate band of Blayse and Teddy Riley ?	SELECT DISTINCT ?uri WHERE { dbr:Blayse dbo:associatedBand ?uri. dbr:Teddy_Riley dbo:associatedBand ?uri . }

"Who is the performer of album which has the song """"To Where You Are"""" ?"	SELECT DISTINCT ?uri WHERE { dbr:To_Where_You_Are dbo:album ?x . ?x dbo:artist ?uri  . }

Does the merlin express have a hub at the cibano international airport?	ASK WHERE { dbr:Merlin_Express dbo:hubAirport dbr:Cibao_International_Airport }

How many people live in Wilton Connecticut?	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbp:residence dbr:Wilton_Connecticut  . }

For how many different teams have Ontarians been drafted ?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:placeOfBirth dbr:Ontario . ?x dbo:draftTeam ?uri  . }

Which Fox  show is presented by Ryan Seacrest?	SELECT DISTINCT ?uri WHERE {?uri dbo:presenter dbr:Ryan_Seacrest . ?uri dbp:channel dbr:Fox_Broadcasting_Company  . ?uri rdf:type dbo:TelevisionShow}

How many rivers are crossed by different Box Girder bridges?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbp:design dbr:Box_girder_bridge . ?x dbp:crosses ?uri  . ?uri rdf:type dbo:River}

What is the alma mater of the actors of The God Who Wasn't There ?	SELECT DISTINCT ?uri WHERE { dbr:The_God_Who_Wasn't_There dbp:starring ?x . ?x dbp:almaMater ?uri  . }

What railway lines go through the stations maintained by Western Australian Public Transport Authority?	SELECT DISTINCT ?uri WHERE { ?x dbo:owningOrganisation dbr:Public_Transport_Authority_(Western_Australia) . ?x dbo:servingRailwayLine ?uri  . ?x rdf:type dbo:Station}

Which label released the movie written by Thomas Meehan?	SELECT DISTINCT ?uri WHERE { ?x dbp:writer dbr:Thomas_Meehan_(writer) . ?x dbp:label ?uri  . ?x rdf:type dbo:Film}

What is the leader name of the settlements whose governing body is Municipal council?	SELECT DISTINCT ?uri WHERE { ?x dbo:governingBody dbr:Municipal_council . ?x dbo:leaderName ?uri  . ?x rdf:type dbo:Settlement}

What is the major shrine of Jacques-Dsir Laval ?	 SELECT DISTINCT ?uri WHERE { dbr:Jacques-Désiré_Laval dbo:majorShrine ?uri }

List places that are associated to cities in the state of Mecklenburg-Vorpommern.	SELECT DISTINCT ?uri WHERE { ?x dbo:federalState dbr:Mecklenburg-Vorpommern . ?uri dbp:cities ?x  . }

What sporting goods companies are located in Herzogenaurach?	 SELECT DISTINCT ?uri WHERE {?uri dbp:location dbr:Herzogenaurach }

Count the number of actors in Lucy Sullivan Is Getting Married.	SELECT DISTINCT COUNT(?uri) WHERE { dbr:Lucy_Sullivan_Is_Getting_Married dbp:starring ?uri  . }

What genre of games are made by Blizzard Entertainment studios?	SELECT DISTINCT ?uri WHERE { ?x dbo:developer dbr:Blizzard_Entertainment . ?x dbp:genre ?uri  . ?x rdf:type dbo:VideoGame}

Which predecessor of Alexander Downer was deputy to Neil Brown ?	SELECT DISTINCT ?uri WHERE {?uri dbo:predecessor dbr:Alexander_Downer . ?uri dbp:deputy dbr:Neil_Brown_(Australian_politician)  . }

Who built the stadium which was rented by Costa Rica national football team?	SELECT DISTINCT ?uri WHERE { ?x dbp:tenants dbr:Costa_Rica_national_football_team . ?x dbo:builder ?uri  . ?x rdf:type dbo:Stadium}

Which sports are played in the alma mater of Amitava Datta?	SELECT DISTINCT ?uri WHERE { dbr:Amitava_Datta dbp:almaMater ?x . ?x dbo:sport ?uri  . }

To which series does the character of Londo Mollari belong?	 SELECT DISTINCT ?uri WHERE { dbr:Londo_Mollari dbo:series ?uri }

Count all the scientologists.	SELECT DISTINCT COUNT(?uri) WHERE {?uri dbo:religion dbr:Scientology  . }

Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?	SELECT DISTINCT ?uri WHERE { dbr:Rashid_Behbudov_State_Song_Theatre dbo:locationCountry ?uri. dbr:Baku_Puppet_Theatre dbo:locationCountry ?uri . }

What is the birthplace of Liudmila Privivkova and Qadir Huseynov ?	SELECT DISTINCT ?uri WHERE { dbr:Liudmila_Privivkova dbo:birthPlace ?uri. dbr:Qadir_Huseynov dbo:birthPlace ?uri . }

What is the predecessor of the automobile which is the related of Cadillac Fleetwood?	SELECT DISTINCT ?uri WHERE { dbr:Cadillac_Fleetwood dbp:related ?x . ?x dbo:predecessor ?uri  . ?x rdf:type dbo:Automobile}

How many genres of games can I find on the commodore CDTV?	SELECT DISTINCT COUNT(?uri) WHERE { ?x dbo:computingPlatform dbr:Commodore_CDTV . ?x dbo:genre ?uri  . }

List the cast member of the movies whose producer is Mark Johnson.	SELECT DISTINCT ?uri WHERE { ?x dbo:producer dbr:Mark_Johnson_(producer) . ?x dbo:starring ?uri  . ?x rdf:type dbo:Film}

Under which archipelago does Canary Islands fall?	 SELECT DISTINCT ?uri WHERE {?uri dbp:archipelago dbr:Canary_Islands }

In how many  territories were the wars fought where Fusil Gras Mile 1874 were used?	SELECT DISTINCT COUNT(?uri) WHERE { dbr:Fusil_Gras_mle_1874 dbo:usedInWar ?x . ?x dbo:territory ?uri  . ?x rdf:type dbo:MilitaryConflict}

What is the craft of the Ralph Flanders which is also the profession of  Claiborne Pell ?	 SELECT DISTINCT ?uri WHERE { dbr:Ralph_Flanders dbp:occupation ?uri. dbr:Claiborne_Pell dbo:profession ?uri}

Who are the politicians whose death place is Ontario?	SELECT DISTINCT ?uri WHERE {?uri dbo:deathPlace dbr:Ontario  . ?uri rdf:type dbo:Politician}

Does the US route 281 have a junction at San Antonio?	ASK WHERE { dbr:U.S._Route_281 dbp:junction dbr:San_Antonio }

Where do the CNN employees typically graduate from?	SELECT DISTINCT ?uri WHERE { ?x dbp:employer dbr:CNN . ?x dbo:almaMater ?uri  . }

Who has stock in the railway lines managed by Norfolk Southern Railway?	SELECT DISTINCT ?uri WHERE { ?x dbp:system dbr:Norfolk_Southern_Railway . ?x dbp:owner ?uri  . ?x rdf:type dbo:RailwayLine}

Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull?	SELECT DISTINCT ?uri WHERE {?uri dbo:product dbr:Pixar_Image_Computer . ?uri dbo:keyPerson dbr:Edwin_Catmull  . ?uri rdf:type dbo:Company}
